,I1,I2,I3,I4,I5,I6,I7,I8
I1,1,0.74,0.17,0.17,0.17,0.75,0.75,0.83
I2,0.74,1,0.26,0.26,0.29,0.84,0.84,0.74
I3,0.17,0.26,1,0.87,0.87,0.23,0.23,0.18
I4,0.17,0.26,0.87,1,0.93,0.23,0.23,0.18
I5,0.17,0.29,0.87,0.93,1,0.23,0.23,0.18
I6,0.75,0.84,0.23,0.23,0.23,1,0.86,0.73
I7,0.75,0.84,0.23,0.23,0.23,0.86,1,0.73
I8,0.83,0.74,0.18,0.18,0.18,0.73,0.73,1
