Sim_SUOG,Sim_IC,Sim_Resnik,Sim_Wu_Palmer,Sim_Lin
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.94,0.95
0.83,0.87,1.16,0.93,0.95
0.83,0.87,1.16,0.93,0.95
0.83,0.87,1.16,0.93,0.94
0.83,0.87,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.83,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.82,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.93,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.94
0.81,0.86,1.16,0.92,0.93
0.81,0.86,1.16,0.92,0.93
0.81,0.86,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.8,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.92,0.93
0.79,0.85,1.16,0.91,0.93
0.79,0.85,1.16,0.91,0.93
0.79,0.85,1.16,0.91,0.93
0.79,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.78,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.91,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.77,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.76,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.9,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.75,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.74,0.85,1.16,0.89,0.93
0.73,0.85,1.16,0.89,0.93
0.73,0.85,1.16,0.89,0.93
0.73,0.85,1.16,0.89,0.93
0.73,0.84,1.16,0.89,0.92
0.73,0.84,1.16,0.89,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.73,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
0.72,0.84,1.16,0.88,0.92
