,I1,I2,I3,I4,I5,I6,I7,I8
I1,1,0.74,0.21,0.14,0.11,0.84,0.83,0.83
I2,0.74,1,0.28,0.22,0.31,0.82,0.82,0.78
I3,0.21,0.28,1,0.83,0.81,0.29,0.29,0.15
I4,0.14,0.22,0.83,1,0.96,0.23,0.23,0.13
I5,0.11,0.31,0.81,0.96,1,0.2,0.2,0.11
I6,0.84,0.82,0.29,0.23,0.2,1,0.96,0.67
I7,0.83,0.82,0.29,0.23,0.2,0.96,1,0.67
I8,0.83,0.78,0.15,0.13,0.11,0.67,0.67,1
