,I1,I2,I3,I4,I5,I6,I7,I8
I1,1,1.03,0.46,0.46,0.46,1.03,1.03,0.73
I2,1.03,1,0.55,0.55,0.58,0.74,0.74,1.04
I3,0.46,0.55,1,0.79,0.79,0.51,0.51,0.48
I4,0.46,0.55,0.79,1,0.11,0.51,0.51,0.48
I5,0.46,0.58,0.79,0.11,1,0.51,0.51,0.48
I6,1.03,0.74,0.51,0.51,0.51,1,0.75,1.02
I7,1.03,0.74,0.51,0.51,0.51,0.75,1,1.02
I8,0.73,1.04,0.48,0.48,0.48,1.02,1.02,1
