x,UF1221,UF1223,UF1224,UF1226,UF1227
UF1221,1,0.388,0.388,0.14400000000000002,0.14400000000000002
UF1223,0.388,1,0.521,0.0010000000000000009,0.0010000000000000009
UF1224,0.388,0.521,1,0.0010000000000000009,0.0010000000000000009
UF1226,0.14400000000000002,0.0010000000000000009,0.0010000000000000009,1,0.45699999999999996
UF1227,0.14400000000000002,0.0010000000000000009,0.0010000000000000009,0.45699999999999996,1
