x,FM0209,FM0020,FM0208,FM0019,FM0025,FM0026,FM0024,FM0210,FM0207
FM0209,1,0.258,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.628,0.10999999999999999
FM0020,0.258,1,0.347,0.347,0.038000000000000034,0.038000000000000034,0.038000000000000034,0.10999999999999999,0.347
FM0208,0.10999999999999999,0.347,1,0.21699999999999997,0.18599999999999994,0.18599999999999994,0.18599999999999994,0.038000000000000034,0.515
FM0019,0.10999999999999999,0.347,0.21699999999999997,1,0.18599999999999994,0.18599999999999994,0.18599999999999994,0.038000000000000034,0.21699999999999997
FM0025,0.10999999999999999,0.038000000000000034,0.18599999999999994,0.18599999999999994,1,0.266,0.266,0.038000000000000034,0.18599999999999994
FM0026,0.10999999999999999,0.038000000000000034,0.18599999999999994,0.18599999999999994,0.266,1,0.528,0.038000000000000034,0.18599999999999994
FM0024,0.10999999999999999,0.038000000000000034,0.18599999999999994,0.18599999999999994,0.266,0.528,1,0.038000000000000034,0.18599999999999994
FM0210,0.628,0.10999999999999999,0.038000000000000034,0.038000000000000034,0.038000000000000034,0.038000000000000034,0.038000000000000034,1,0.038000000000000034
FM0207,0.10999999999999999,0.347,0.515,0.21699999999999997,0.18599999999999994,0.18599999999999994,0.18599999999999994,0.038000000000000034,1
