FM0012,FM0014,FM0013,FM0147,FM0206
FM0012,1,0.33999999999999997,0.47,0.09999999999999998,0.09999999999999998
FM0014,0.33999999999999997,1,0.33999999999999997,0.050000000000000044,0.050000000000000044
FM0013,0.47,0.33999999999999997,1,0.09999999999999998,0.09999999999999998
FM0147,0.09999999999999998,0.050000000000000044,0.09999999999999998,1,0.49
FM0206,0.09999999999999998,0.050000000000000044,0.09999999999999998,0.49,1
