UF2727,UF0874,UF0887,UF5714,UF0915,UF0925,UF0870,UF0875,UF0881,UF0892,UF1124,UF0906,UF1020,UF1214,UF1019,UF1012,UF1123,UF1121,UF1218,UF0977,UF0978,UF0981,UF1217,UF0985,UF0871,UF0872,UF0997
UF1124,0.31999999999999995,0.22299999999999998,0.22299999999999998,0,0.028000000000000025,0.028000000000000025,0.22299999999999998,0.22299999999999998,0.126,0.126,1,0.516,0.88,0.88,0.752,0.752,0.516,0.42900000000000005,0.516,0.273,0.273,0.273,0.516,0.273,0.22299999999999998,0.22299999999999998,0.028000000000000025
UF0906,0.514,0.41700000000000004,0.41700000000000004,0,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.516,1,0.516,0.516,0.516,0.516,0.876,0.354,0.876,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.41700000000000004,0.41700000000000004,0.22299999999999998
UF1020,0.31999999999999995,0.22299999999999998,0.22299999999999998,0,0.028000000000000025,0.028000000000000025,0.22299999999999998,0.22299999999999998,0.126,0.126,0.88,0.516,1,0.88,0.752,0.755,0.516,0.42900000000000005,0.516,0.273,0.273,0.273,0.516,0.273,0.22299999999999998,0.22299999999999998,0.028000000000000025
UF1214,0.31999999999999995,0.22299999999999998,0.22299999999999998,0,0.028000000000000025,0.028000000000000025,0.22299999999999998,0.22299999999999998,0.126,0.126,0.88,0.516,0.88,1,0.752,0.752,0.516,0.42900000000000005,0.516,0.273,0.273,0.273,0.516,0.273,0.22299999999999998,0.22299999999999998,0.028000000000000025
UF1019,0.31999999999999995,0.22299999999999998,0.22299999999999998,0,0.028000000000000025,0.028000000000000025,0.22299999999999998,0.22299999999999998,0.126,0.126,0.752,0.516,0.752,0.752,1,0.882,0.516,0.42900000000000005,0.516,0.273,0.273,0.273,0.516,0.273,0.22299999999999998,0.22299999999999998,0.028000000000000025
UF1012,0.31999999999999995,0.22299999999999998,0.22299999999999998,0,0.028000000000000025,0.028000000000000025,0.22299999999999998,0.22299999999999998,0.126,0.126,0.752,0.516,0.755,0.752,0.882,1,0.516,0.882,0.516,0.273,0.273,0.273,0.516,0.273,0.22299999999999998,0.22299999999999998,0.028000000000000025
UF1123,0.514,0.41700000000000004,0.41700000000000004,0,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.516,0.876,0.516,0.516,0.516,0.516,1,0.354,0.876,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.41700000000000004,0.41700000000000004,0.22299999999999998
UF1121,0.126,0.028000000000000025,0.028000000000000025,0,0,0,0.028000000000000025,0.028000000000000025,0,0,0.42900000000000005,0.354,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.882,0.354,1,0.354,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.354,0.11199999999999999,0.028000000000000025,0.028000000000000025,0
UF1218,0.514,0.41700000000000004,0.41700000000000004,0,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.516,0.876,0.516,0.516,0.516,0.516,0.876,0.354,1,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.41700000000000004,0.41700000000000004,0.22299999999999998
UF0977,0.22299999999999998,0.126,0.126,0,0,0,0.126,0.126,0.028000000000000025,0.028000000000000025,0.273,0.43500000000000005,0.273,0.273,0.273,0.273,0.43500000000000005,0.11199999999999999,0.43500000000000005,1,0.88,0.754,0.43500000000000005,0.88,0.126,0.126,0
UF0978,0.22299999999999998,0.126,0.126,0,0,0,0.126,0.126,0.028000000000000025,0.028000000000000025,0.273,0.43500000000000005,0.273,0.273,0.273,0.273,0.43500000000000005,0.11199999999999999,0.43500000000000005,0.88,1,0.754,0.43500000000000005,0.621,0.126,0.126,0
UF0981,0.22299999999999998,0.126,0.126,0,0,0,0.126,0.126,0.028000000000000025,0.028000000000000025,0.273,0.43500000000000005,0.273,0.273,0.273,0.273,0.43500000000000005,0.11199999999999999,0.43500000000000005,0.754,0.754,1,0.43500000000000005,0.754,0.126,0.126,0
UF1217,0.514,0.41700000000000004,0.41700000000000004,0,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.516,0.876,0.516,0.516,0.516,0.516,0.876,0.354,0.876,0.43500000000000005,0.43500000000000005,0.43500000000000005,1,0.43500000000000005,0.41700000000000004,0.41700000000000004,0.22299999999999998
UF0985,0.22299999999999998,0.126,0.126,0,0,0,0.126,0.126,0.028000000000000025,0.028000000000000025,0.273,0.43500000000000005,0.273,0.273,0.273,0.273,0.43500000000000005,0.11199999999999999,0.43500000000000005,0.88,0.621,0.754,0.43500000000000005,1,0.126,0.126,0
UF0871,0.514,0.75,0.75,0,0.878,0.5880000000000001,0.878,0.694,0.879,0.879,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,1,0.878,0.5880000000000001
UF0872,0.514,0.75,0.75,0,0.878,0.5880000000000001,0.878,0.694,0.879,0.879,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.028000000000000025,0.41700000000000004,0.126,0.126,0.126,0.41700000000000004,0.126,0.878,1,0.5880000000000001
UF0997,0.31999999999999995,0.5880000000000001,0.5880000000000001,0,0.5880000000000001,0.764,0.5880000000000001,0.5409999999999999,0.46399999999999997,0.46399999999999997,0.028000000000000025,0.22299999999999998,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.028000000000000025,0.22299999999999998,0,0.22299999999999998,0,0,0,0.22299999999999998,0,0.5880000000000001,0.5880000000000001,1
