UF0874,UF0887,UF2727,UF5714,UF0892,UF0870,UF0871,UF0872,UF0915,UF0997,UF0925,UF0944,UF0945,UF1019,UF1218,UF1012,UF5721,UF1124,UF5715,UF1020,UF0906,UF1214,UF2736,UF1123,UF1121,UF1009,UF1010,UF0988,UF0976,UF0977,UF0978,UF0981,UF1217,UF0985,UF1016,UF2734,UF0963,UF0962,UF0961,UF0935,UF0937,UF0938,UF0939,UF0875,UF0881,UF0876,UF1273,UF0914,UF0877,UF0949,UF1032,UF1034,UF1036,UF1240,UF2724,UF1041,UF1040,UF1216,UF1458,UF1001,UF1002,UF1003
UF0925,0.5880000000000001,0.5880000000000001,0.31999999999999995,0,0.46399999999999997,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.764,1,0.388,0.388,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.126,0.029000000000000026,0.126,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.22299999999999998,0.22299999999999998,0,0,0,0,0,0,0,0,0.22299999999999998,0,0.029000000000000026,0.029000000000000026,0,0,0,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5880000000000001,0.5409999999999999,0.46399999999999997,0.5409999999999999,0,0.5880000000000001,0.5409999999999999,0.388,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0
UF0944,0.5409999999999999,0.5409999999999999,0.31999999999999995,0,0.46399999999999997,0.5409999999999999,0.5409999999999999,0.5409999999999999,0.388,0.388,0.388,1,0.764,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.126,0.029000000000000026,0.126,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.22299999999999998,0.22299999999999998,0,0,0,0,0,0,0,0,0.22299999999999998,0,0.029000000000000026,0.029000000000000026,0,0,0,0.388,0.388,0.388,0.388,0.5409999999999999,0.46399999999999997,0.5409999999999999,0,0.388,0.5409999999999999,0.624,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0
UF0945,0.5409999999999999,0.5409999999999999,0.31999999999999995,0,0.46399999999999997,0.5409999999999999,0.5409999999999999,0.5409999999999999,0.388,0.388,0.388,0.764,1,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.126,0.029000000000000026,0.126,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.22299999999999998,0.22299999999999998,0,0,0,0,0,0,0,0,0.22299999999999998,0,0.029000000000000026,0.029000000000000026,0,0,0,0.388,0.388,0.388,0.388,0.5409999999999999,0.46399999999999997,0.5409999999999999,0,0.388,0.5409999999999999,0.624,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0
UF1019,0.22299999999999998,0.22299999999999998,0.31999999999999995,0,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,1,0.516,0.882,0.643,0.752,0.643,0.752,0.516,0.752,0.516,0.516,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.273,0.273,0.273,0.273,0.273,0.516,0.273,0.571,0.571,0.273,0.273,0.273,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.126,0.22299999999999998,0,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.571,0.571,0.571,0.22299999999999998,0.22299999999999998,0.571,0.571,0.571,0,0.273,0.273,0.273
UF1218,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.516,1,0.516,0.596,0.516,0.596,0.516,0.876,0.516,0.876,0.876,0.354,0.354,0.354,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.516,0.516,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.516,0.516,0.516,0.41700000000000004,0.41700000000000004,0.516,0.516,0.516,0,0.43500000000000005,0.43500000000000005,0.43500000000000005
UF1012,0.22299999999999998,0.22299999999999998,0.31999999999999995,0,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.882,0.516,1,0.643,0.752,0.643,0.752,0.516,0.752,0.516,0.516,0.882,0.882,0.882,0.273,0.273,0.273,0.273,0.273,0.516,0.273,0.88,0.88,0.273,0.273,0.273,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.126,0.22299999999999998,0,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.882,0.755,0.755,0.22299999999999998,0.22299999999999998,0.571,0.571,0.571,0,0.273,0.273,0.273
UF5721,0.31999999999999995,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.126,0.126,0.126,0.126,0.126,0.643,0.596,0.643,1,0.643,0.882,0.643,0.596,0.643,0.596,0.596,0.5,0.5,0.5,0.354,0.354,0.354,0.354,0.354,0.596,0.354,0.643,0.643,0.354,0.354,0.354,0.126,0.126,0.126,0.126,0.31999999999999995,0.22299999999999998,0.31999999999999995,0,0.126,0.31999999999999995,0.126,0.643,0.643,0.643,0.31999999999999995,0.31999999999999995,0.643,0.643,0.643,0,0.354,0.354,0.354
UF1124,0.22299999999999998,0.22299999999999998,0.31999999999999995,0,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.752,0.516,0.752,0.643,1,0.643,0.88,0.516,0.88,0.516,0.516,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.273,0.273,0.273,0.273,0.273,0.516,0.273,0.571,0.571,0.273,0.273,0.273,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.126,0.22299999999999998,0,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.571,0.571,0.571,0.22299999999999998,0.22299999999999998,0.571,0.571,0.571,0,0.273,0.273,0.273
UF5715,0.31999999999999995,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.31999999999999995,0.31999999999999995,0.31999999999999995,0.126,0.126,0.126,0.126,0.126,0.643,0.596,0.643,0.882,0.643,1,0.643,0.596,0.643,0.596,0.596,0.5,0.5,0.5,0.354,0.354,0.354,0.354,0.354,0.596,0.354,0.643,0.643,0.354,0.354,0.354,0.126,0.126,0.126,0.126,0.31999999999999995,0.22299999999999998,0.31999999999999995,0,0.126,0.31999999999999995,0.126,0.643,0.643,0.643,0.31999999999999995,0.31999999999999995,0.643,0.643,0.643,0,0.354,0.354,0.354
UF1020,0.22299999999999998,0.22299999999999998,0.31999999999999995,0,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.752,0.516,0.752,0.643,0.88,0.643,1,0.516,0.88,0.516,0.516,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.273,0.273,0.273,0.273,0.273,0.516,0.273,0.755,0.755,0.273,0.273,0.273,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.126,0.22299999999999998,0,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.755,0.881,0.881,0.22299999999999998,0.22299999999999998,0.571,0.571,0.571,0,0.273,0.273,0.273
UF0906,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.516,0.876,0.516,0.596,0.516,0.596,0.516,1,0.516,0.876,0.876,0.354,0.354,0.354,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.516,0.516,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.516,0.516,0.516,0.41700000000000004,0.41700000000000004,0.516,0.516,0.516,0,0.43500000000000005,0.43500000000000005,0.43500000000000005
UF1214,0.22299999999999998,0.22299999999999998,0.31999999999999995,0,0.126,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.752,0.516,0.752,0.643,0.88,0.643,0.88,0.516,1,0.516,0.516,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.273,0.273,0.273,0.273,0.273,0.516,0.273,0.571,0.571,0.273,0.273,0.273,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.029000000000000026,0.22299999999999998,0.126,0.22299999999999998,0,0.029000000000000026,0.22299999999999998,0.029000000000000026,0.571,0.571,0.571,0.22299999999999998,0.22299999999999998,0.571,0.571,0.571,0,0.273,0.273,0.273
UF2736,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.516,0.876,0.516,0.596,0.516,0.596,0.516,0.876,0.516,1,0.876,0.354,0.354,0.354,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.516,0.516,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.516,0.516,0.516,0.41700000000000004,0.41700000000000004,0.516,0.516,0.516,0,0.43500000000000005,0.43500000000000005,0.43500000000000005
UF1123,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.516,0.876,0.516,0.596,0.516,0.596,0.516,0.876,0.516,0.876,1,0.354,0.354,0.354,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.876,0.43500000000000005,0.516,0.516,0.43500000000000005,0.43500000000000005,0.43500000000000005,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.22299999999999998,0.41700000000000004,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.41700000000000004,0.22299999999999998,0.516,0.516,0.516,0.41700000000000004,0.41700000000000004,0.516,0.516,0.516,0,0.43500000000000005,0.43500000000000005,0.43500000000000005
UF1121,0.029000000000000026,0.029000000000000026,0.126,0,0,0.029000000000000026,0.029000000000000026,0.029000000000000026,0,0,0,0,0,0.42900000000000005,0.354,0.882,0.5,0.42900000000000005,0.5,0.42900000000000005,0.354,0.42900000000000005,0.354,0.354,1,0.628,0.628,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.11199999999999999,0.354,0.11199999999999999,0.42900000000000005,0.42900000000000005,0.11199999999999999,0.11199999999999999,0.11199999999999999,0,0,0,0,0.029000000000000026,0,0.029000000000000026,0,0,0.029000000000000026,0,0.42900000000000005,0.42900000000000005,0.42900000000000005,0.029000000000000026,0.029000000000000026,0.42900000000000005,0.42900000000000005,0.42900000000000005,0,0.11199999999999999,0.11199999999999999,0.11199999999999999
