FM0012,FM0013,FM0147,FM0014,FM0016,FM0206,FM0015
FM0012,1,0.47,0.09999999999999998,0.33999999999999997,0.25,0.09999999999999998,0.33999999999999997
FM0013,0.47,1,0.09999999999999998,0.33999999999999997,0.25,0.09999999999999998,0.33999999999999997
FM0147,0.09999999999999998,0.09999999999999998,1,0.050000000000000044,0.61,0.49,0.050000000000000044
FM0014,0.33999999999999997,0.33999999999999997,0.050000000000000044,1,0.09999999999999998,0.050000000000000044,0.5
FM0016,0.25,0.25,0.61,0.09999999999999998,1,0.61,0.09999999999999998
FM0206,0.09999999999999998,0.09999999999999998,0.49,0.050000000000000044,0.61,1,0.050000000000000044
FM0015,0.33999999999999997,0.33999999999999997,0.050000000000000044,0.5,0.09999999999999998,0.050000000000000044,1
